Category,def
cognitive systems,relating involving cognition instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
intelligent agents,capacity thought reason especially high degree possessing sound knowledge exercising showing good judgment endowed capacity reason active efficient cause capable producing certain effect representative acts behalf persons organizations substance exerts force effect businessman buys sells another exchange commission agent representative federal agency bureau semantic role animate entity instigates causes happening denoted verb clause
knowledge representation reasoning,psychological result perception learning reasoning presentation mind form idea image creation visual tangible rendering someone something act representing standing someone group speaking authority behalf state serving official authorized delegate agent body legislators serve behalf constituency factual statement made one party order induce another party enter contract performance play statement facts reasons made appealing protesting right represented delegates voice legislative body activity stands equivalent something results equivalent thinking coherent logical decide reasoning draw come conclusion present reasons arguments think logically endowed capacity reason
machine learning,mechanical electrical device transmits modifies energy perform assist performance human tasks efficient person intricate organization accomplishes goals efficiently device overcoming resistance one point applying force point group controls activities political party motor vehicle four wheels usually propelled internal combustion engine turn shape mold otherwise finish machinery make machinery cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
natural language processing,someone regarded certain succeed notation cancelling previous sharp flat craps accordance nature relating concerning nature existing produced nature artificial imitation existing conformity nature observable world neither supernatural magical functioning occurring normal way lacking abnormalities deficiencies of musical note of parent child unthinking prompted or used especially commodities talented inherited qualities free artificiality systematic means communicating use sounds conventional symbols language text popular song musicalcomedy number cognitive processes involved producing understanding linguistic communication mental faculty power vocal communication system words used name things particular discipline preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
robotics,area AI concerned practical use robots
unmanned autonomous vehicles,cause lose ones nerve lacking crew of political bodies existing independent entity of persons conveyance transports people objects medium expression achievement something substance facilitates use drug pigment material mixed inanimate object as towel money clothing dishes books toys etc
computer architecture,machine performing calculations automatically expert calculation or operating calculating machines architectural product work discipline dealing principles design construction ornamentation fine buildings profession designing buildings environments consideration esthetic effect computer science
computing components,branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation abstract part something something determined relation something includes artifact one individual parts composite entity made up especially part separated attached system
devices,instrumentality invented particular purpose something artistic work designed achieve particular effect clever maneuver ornamental pattern design as embroidery emblematic design especially heraldry inclination desire used plural phrase left devices
subsystems,system part larger system
real time,rational irrational number basic unit money Brazil equal 100 centavos old small silver Spanish coin occurring fact actuality verified existence illusory less stated worthy name taken lightly capable treated fact reflecting essential genuine character something of relating to representing amount corrected inflation substance capable treated fact imaginary of property coinciding reality used intensifiers real sometimes used informally really rattling informal instance single occasion event period time considered resource control sufficient accomplish something indefinite period usually marked specific attributes activities suitable moment continuum experience events pass future present past persons experience particular occasion reading point time given clock fourth coordinate required along three spatial dimensions rhythm given division parts equal duration period time prisoner imprisoned measure time duration event action person performs action certain period time assign time activity event set speed duration execution regulate set time adjust force applied action occurs desired time
embedded systems,fix set securely deeply attach to journalist military unit reporting war enclosed firmly surrounding mass inserted integral part surrounding whole instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
